,NormMSE,Pearson,Spearman,split,Method
SLC35B1,0.16227711737155914,0.9408283310185652,0.9954887218045112,4,Gears
TMED10,0.19523756206035614,0.9093502776959212,0.9969924812030074,4,Gears
COPB1,0.13597826659679413,0.9531312886974774,0.993984962406015,4,Gears
AARS,0.1571502536535263,0.9710005287197419,0.9127819548872179,4,Gears
PPWD1,0.22162306308746338,0.9266502794198459,0.9849624060150375,4,Gears
EIF2B3,0.1440022587776184,0.9682353383395821,0.9278195488721804,4,Gears
SEC61G,0.31395119428634644,0.8717754823155701,0.9488721804511278,4,Gears
TMED2,0.2973513603210449,0.8129177010087005,0.9954887218045112,4,Gears
P4HB,0.20341435074806213,0.8757639824907528,0.9954887218045112,4,Gears
SPCS2,0.40064874291419983,0.6939204039917968,0.9924812030075187,4,Gears
SEC61A1,0.37012290954589844,0.876159900741186,0.8165413533834586,5,Gears
DDRGK1,0.2629603147506714,0.8535192930410176,0.9834586466165413,5,Gears
SEL1L,0.33927953243255615,0.9418513131677173,0.9593984962406013,5,Gears
GMPPB,0.1764356642961502,0.9118405605331645,0.9894736842105262,5,Gears
TMEM167A,0.28799840807914734,0.9137641887646168,0.9639097744360902,5,Gears
TTI2,0.21274641156196594,0.9064024438466731,1.0,5,Gears
NEDD8,0.5484607815742493,0.7100931538734585,0.8962406015037594,5,Gears
HSD17B12,0.320162296295166,0.9075609182182234,0.9744360902255638,5,Gears
TTI1,0.34751296043395996,0.9160525386687368,0.9533834586466164,5,Gears
PSMD4,0.9727557301521301,0.3522775504970923,0.8947368421052632,5,Gears
DDOST,0.31940433382987976,0.8452488328330219,0.9879699248120299,5,Gears
CCND3,0.5027919411659241,0.7303769905120134,0.9684210526315788,5,Gears
UFM1,0.2319464385509491,0.8871413114047755,0.9744360902255638,5,Gears
COPB1,0.2396026849746704,0.9140914839226753,0.9894736842105262,5,Gears
CHERP,0.30498260259628296,0.8862251921091229,0.9218045112781955,5,Gears
SRPRB,0.2516072392463684,0.9135100175626576,0.9789473684210527,5,Gears
DHDDS,0.7258939743041992,0.5363712594844401,0.8902255639097743,5,Gears
XRN1,0.17711885273456573,0.953453159541823,0.9759398496240601,5,Gears
P4HB,0.3268105685710907,0.822492288549256,0.9924812030075187,5,Gears
SPCS3,0.30484697222709656,0.8819293505512178,0.9759398496240601,5,Gears
SPCS2,0.4273791015148163,0.6683523730025627,0.993984962406015,5,Gears
