,NormMSE,1-PCC,split,subgroup,Method
CKS1B+ctrl,0.92971754,0.8330015928389988,3,single,Scouter
KIF18B+KIF2C,0.19412677,0.03537070760043082,3,seen2,Scouter
COL1A1+ctrl,0.28988034,0.08112255821572201,3,single,Scouter
ZBTB1+ctrl,0.10131923,0.047657792065210036,3,single,Scouter
CNN1+MAPK1,0.034368183,0.01715451172383764,3,seen1,Scouter
LYL1+ctrl,0.7645645,0.27473766215254036,3,single,Scouter
BAK1+BCL2L11,0.1510287,0.06436079396739802,3,seen2,Scouter
IGDCC3+ctrl,0.04065343,0.010656119100547978,3,single,Scouter
IGDCC3+TGFBR2,0.023507934,0.009718574937653823,3,seen0,Scouter
IRF1+SET,0.06257623,0.05440841762400084,3,seen2,Scouter
ARID1A+ctrl,0.29721627,0.11257731666152726,3,single,Scouter
FOXF1+HOXB9,0.017522516,0.006101478692080442,3,seen2,Scouter
STIL+ctrl,0.06277687,0.06594683089719477,3,single,Scouter
FOXA1+FOXL2,0.009914221,0.003391689733689196,3,seen2,Scouter
CEBPB+LYL1,0.24205618,0.1363989214033523,3,seen1,Scouter
RHOXF2BB+SET,0.060353443,0.011924653719673217,3,seen2,Scouter
PRDM1+ctrl,0.03849384,0.01920767041632676,3,single,Scouter
ELMSAN1+ZBTB10,0.069759175,0.011050398963983965,3,seen1,Scouter
BPGM+ZBTB1,0.03145472,0.01821946053461243,3,seen1,Scouter
CEBPB+CEBPE,0.033524964,0.012331786779114617,3,seen2,Scouter
CDKN1A+CDKN1C,0.026939988,0.006023122127393199,3,seen1,Scouter
CDKN1C+ctrl,0.14899692,0.023454472347225752,3,single,Scouter
MAML2+ctrl,1.4110562,1.2337157723205032,4,single,Scouter
ELMSAN1+ctrl,0.1553216,0.05339915987250199,4,single,Scouter
PTPN12+UBASH3B,0.037943978,0.008410207978335027,4,seen1,Scouter
ETS2+IGDCC3,0.094038285,0.038221598583733196,4,seen2,Scouter
IKZF3+MAP2K6,0.012253655,0.010896170052568044,4,seen2,Scouter
TBX3+ctrl,0.035618793,0.005153976729952436,4,single,Scouter
UBASH3B+ctrl,0.031200677,0.013108901639071413,4,single,Scouter
MIDN+ctrl,0.88627696,0.4832455511668259,4,single,Scouter
IER5L+ctrl,0.56633794,0.23488725251487652,4,single,Scouter
COL2A1+KLF1,0.09621153,0.07263909390680645,4,seen2,Scouter
IKZF3+MAPK1,0.009732395,0.006446631093753208,4,seen2,Scouter
CKS1B+ctrl,0.92664576,0.8388327780040457,4,single,Scouter
FOXA3+ctrl,0.04749736,0.02348522304113121,4,single,Scouter
KIF18B+KIF2C,0.18613003,0.03706558807121996,4,seen2,Scouter
ZBTB1+ctrl,0.16286182,0.048147307208990964,4,single,Scouter
BPGM+ctrl,0.094915375,0.016341033127194815,4,single,Scouter
LYL1+ctrl,0.745812,0.24257753819602468,4,single,Scouter
SGK1+ctrl,0.074541606,0.021747611348432838,4,single,Scouter
MAPK1+TGFBR2,0.027520554,0.0032691070786223797,4,seen1,Scouter
PTPN12+PTPN9,0.016697224,0.0037176331697114096,4,seen1,Scouter
KMT2A+ctrl,0.9099216,0.7174498888586186,4,single,Scouter
BAK1+BCL2L11,0.15605094,0.07192093612339001,4,seen2,Scouter
TMSB4X+ctrl,0.19605276,0.09232026090032319,4,single,Scouter
ELMSAN1+MAP2K3,0.09868794,0.015292533772961248,4,seen1,Scouter
ARID1A+ctrl,0.40804225,0.11950989452631888,4,single,Scouter
NCL+ctrl,1.2101072,1.0965235387253434,4,single,Scouter
HOXC13+ZC3HAV1,0.031628434,0.008880009967558444,4,seen2,Scouter
CBL+CNN1,0.044789378,0.009565648852028041,4,seen2,Scouter
CNN1+UBASH3B,0.08630956,0.010571110953129237,4,seen1,Scouter
CEBPB+ctrl,0.026429208,0.008378177683847188,4,single,Scouter
CBL+PTPN12,0.009703804,0.003906624194584429,4,seen2,Scouter
CEBPB+OSR2,0.03114865,0.022127329852914768,4,seen1,Scouter
ATL1+ctrl,0.7598785,0.3246484837834084,4,single,Scouter
TGFBR2+ctrl,0.15239078,0.04865817064963496,4,single,Scouter
PTPN13+ctrl,0.87072825,0.5701619960895171,4,single,Scouter
CBL+TGFBR2,0.015546608,0.008821677913089188,4,seen1,Scouter
