,NormMSE,1-PCC,split,Method
RPS3A+ctrl,0.0451595,0.029864008451334745,1,Scouter
WDR5+ctrl,0.90066236,0.6742027466723015,1,Scouter
PNPT1+ctrl,0.8462266,0.513421393023613,1,Scouter
NELFB+ctrl,0.21168849,0.12875118085873338,1,Scouter
ATP6V0B+ctrl,1.1018732,0.16467445554637583,1,Scouter
COPS5+ctrl,0.4446112,0.16123157608201888,1,Scouter
EIF3F+ctrl,0.28433397,0.07388759980204562,1,Scouter
EIF3J+ctrl,0.51192236,0.34002330917570456,1,Scouter
SCAF1+ctrl,0.4823304,0.2994852074442633,1,Scouter
LAMTOR2+ctrl,1.1322739,1.184167013023331,1,Scouter
TADA3+ctrl,0.42861262,0.3803860776310518,1,Scouter
PPP4R2+ctrl,0.60920805,0.30299888656456875,1,Scouter
CPSF1+ctrl,0.3397417,0.10314579119499234,1,Scouter
DDOST+ctrl,0.72772384,0.6501395711432905,1,Scouter
CCNH+ctrl,0.77408063,0.40787297890939567,1,Scouter
CCT2+ctrl,0.031819496,0.007900324235634026,1,Scouter
RNF40+ctrl,0.52671295,0.3476598930825714,1,Scouter
ZFC3H1+ctrl,0.6423427,0.26835820801887245,1,Scouter
PSMD13+ctrl,0.06601737,0.050486629957443574,1,Scouter
GINS1+ctrl,0.16559431,0.033096508786064405,1,Scouter
EXOSC10+ctrl,0.21508902,0.2540929116776067,1,Scouter
UPF2+ctrl,0.6344575,0.401837639956781,1,Scouter
SPC24+ctrl,0.08435278,0.08868645289661758,1,Scouter
MCMBP+ctrl,1.8991292,1.7004015175537057,1,Scouter
RPL18A+ctrl,0.17132607,0.049919473915260415,1,Scouter
LONP1+ctrl,0.9509284,0.9164935914268074,1,Scouter
RRP12+ctrl,0.44104952,0.17032777718383496,1,Scouter
ATP6AP1+ctrl,0.1909322,0.11872906374628411,1,Scouter
MRPL41+ctrl,0.11679759,0.05463187132148961,1,Scouter
DTYMK+ctrl,0.531436,0.2800478489400886,1,Scouter
PDCD2+ctrl,0.5918607,0.7491762624677918,1,Scouter
SUPT4H1+ctrl,0.41869,0.24709196330350502,1,Scouter
PSMA7+ctrl,0.625824,0.10976537194459202,1,Scouter
NOLC1+ctrl,0.94434184,0.4642339938239668,1,Scouter
DIMT1+ctrl,0.43215108,0.19228724817816323,1,Scouter
RPP30+ctrl,0.019221388,0.08888290962148859,1,Scouter
PRPF19+ctrl,0.4981011,0.2519653427429178,1,Scouter
GTF2A2+ctrl,0.44414535,0.31819577573139335,1,Scouter
SRP68+ctrl,0.51205635,0.38233403644681874,1,Scouter
