,NormMSE,1-PCC,split,Method
METTL3+ctrl,0.46571767,0.11205002601178082,1,Scouter
DHX30+ctrl,1.1802417,0.7911546945648107,1,Scouter
GMIP+ctrl,1.5225981,0.5924433055704097,1,Scouter
COASY+ctrl,0.18236834,0.030089359443302044,1,Scouter
LSM10+ctrl,0.9030524,0.6444942977159092,1,Scouter
C5orf30+ctrl,0.69355917,0.4094837949087715,1,Scouter
RPS12+ctrl,0.20199083,0.024446445355665647,1,Scouter
PXN+ctrl,0.86944085,0.6849888421515181,1,Scouter
NDC80+ctrl,0.13608015,0.012349773957989973,1,Scouter
ZWINT+ctrl,0.30189735,0.10158267455948011,1,Scouter
BDP1+ctrl,0.4821067,0.027428668071798,1,Scouter
CSTF3+ctrl,0.4424796,0.4444182930126994,1,Scouter
PSMA4+ctrl,0.14294025,0.02444068879032224,1,Scouter
SRSF7+ctrl,0.27036992,0.09360544944548921,1,Scouter
OSGEP+ctrl,0.58151793,0.24828346034085014,1,Scouter
NAE1+ctrl,0.652124,0.18398961396350477,1,Scouter
DOHH+ctrl,2.0210385,1.1302141740456415,1,Scouter
PLRG1+ctrl,0.3602073,0.05823722147382382,1,Scouter
METTL16+ctrl,0.90338486,0.7295762016814797,1,Scouter
CRCP+ctrl,0.762856,0.5712121719190062,1,Scouter
SMG6+ctrl,0.18999831,0.14702338713957552,1,Scouter
NAA25+ctrl,0.40949467,0.21383476141637048,1,Scouter
RFC1+ctrl,0.19718508,0.030586529977097765,1,Scouter
EIF3E+ctrl,0.1731793,0.010686509053110749,1,Scouter
STAG2+ctrl,0.807501,0.48760257544248886,1,Scouter
WDR25+ctrl,0.50088173,0.22489857740032726,1,Scouter
RANGAP1+ctrl,0.10295791,0.0672099272776836,1,Scouter
RPL24+ctrl,0.17362416,0.0023589631687079837,1,Scouter
TRAPPC1+ctrl,0.02371298,0.015613281821586833,1,Scouter
RARS+ctrl,0.01998326,0.006126814009697168,1,Scouter
RAD9A+ctrl,0.88175964,0.6642172068483148,1,Scouter
TEX10+ctrl,0.68909734,0.23503902661986154,1,Scouter
ACD+ctrl,0.052067645,0.021467419260926768,1,Scouter
NPM1+ctrl,0.39928028,0.06200768362920761,1,Scouter
EXOSC4+ctrl,0.060371976,0.011929783158863616,1,Scouter
COTL1+ctrl,1.0004082,0.5674037329868387,1,Scouter
GYG1+ctrl,1.2055302,0.3572925232739068,1,Scouter
EMC4+ctrl,0.39206195,0.19345513975633832,1,Scouter
MRPS34+ctrl,0.8746142,0.5077673306277117,1,Scouter
ZBTB44+ctrl,1.1698923,1.1755903586430794,1,Scouter
ATP6AP1+ctrl,0.11333622,0.08701564710183762,1,Scouter
RRM2+ctrl,0.0802597,0.0279661428927952,1,Scouter
STX5+ctrl,0.5036959,0.09513262700984482,1,Scouter
SMNDC1+ctrl,0.21116492,0.08159108828001804,1,Scouter
PSMB6+ctrl,0.004255511,0.007674627631007236,1,Scouter
RNF40+ctrl,0.886555,0.40306685236118367,1,Scouter
CWC25+ctrl,0.40119317,0.1271514019874871,1,Scouter
NBAS+ctrl,0.34129947,0.09059629021082605,1,Scouter
ABCE1+ctrl,0.38988957,0.20537370621264295,1,Scouter
ISCU+ctrl,0.2607308,0.08599966077370436,1,Scouter
IWS1+ctrl,0.8965822,0.5887172604655603,1,Scouter
PRPF8+ctrl,0.02812791,0.01466459347741722,1,Scouter
GNL2+ctrl,0.011883102,0.01121812455008675,1,Scouter
DYNLL2+ctrl,1.2711535,0.9414849071202872,1,Scouter
RBBP8+ctrl,0.1394289,0.02254650833245242,1,Scouter
TEN1+ctrl,1.8720655,1.00303590192536,1,Scouter
HTATSF1+ctrl,0.73641187,0.5844845650205763,1,Scouter
BRK1+ctrl,0.5880049,0.1092849218134031,1,Scouter
CCAR1+ctrl,1.0084628,0.684659429432021,1,Scouter
PMPCA+ctrl,0.28512284,0.03559936993797341,1,Scouter
GOLT1B+ctrl,0.4309423,0.1780881626534493,1,Scouter
WARS+ctrl,0.3269332,0.12205598078800717,1,Scouter
BPTF+ctrl,0.5322943,0.3055810799508145,1,Scouter
AKIRIN2+ctrl,0.34913084,0.08430800213559997,1,Scouter
TIMM9+ctrl,0.60491794,0.3993544340845028,1,Scouter
IMPA2+ctrl,0.9335092,0.728538283468795,1,Scouter
PDCD7+ctrl,0.36542937,0.046497801488754376,1,Scouter
AATF+ctrl,0.41698837,0.016540103948963214,1,Scouter
CNOT11+ctrl,0.612524,0.2944299706400678,1,Scouter
POLA2+ctrl,0.022502119,0.007753586142107194,1,Scouter
SHQ1+ctrl,0.17160518,0.04436342383792802,1,Scouter
HDAC3+ctrl,0.9158164,0.6731131315009566,1,Scouter
WDR43+ctrl,0.063265726,0.06796872994596104,1,Scouter
EXOC7+ctrl,0.30963778,0.12532086110896345,1,Scouter
PSMC1+ctrl,0.013438989,0.00705838772023637,1,Scouter
NRDE2+ctrl,0.4135176,0.21421530487862228,1,Scouter
UBE2I+ctrl,0.6352391,0.09325851687008035,1,Scouter
DICER1+ctrl,1.3452693,1.1190695478337076,1,Scouter
DENR+ctrl,0.63867986,0.3935829763928982,1,Scouter
DARS+ctrl,0.75344354,0.048769859519504855,1,Scouter
BUB1+ctrl,0.6102703,0.34156187672143545,1,Scouter
RFC4+ctrl,0.031748116,0.016225536853940015,1,Scouter
USP9X+ctrl,1.0036231,0.6416689381263678,1,Scouter
EXOSC5+ctrl,0.15562993,0.03283415757099639,1,Scouter
ATR+ctrl,0.07955576,0.007349726019359237,1,Scouter
ELOF1+ctrl,0.8090937,0.5027816297077511,1,Scouter
GEMIN8+ctrl,0.038308095,0.02488781524848016,1,Scouter
SRRM1+ctrl,0.53379065,0.13833008287635362,1,Scouter
RNF20+ctrl,0.72566694,0.2979530499059845,1,Scouter
LARS+ctrl,0.21335556,0.01750293895277244,1,Scouter
RPL7+ctrl,0.0046025137,0.0013439639532809577,1,Scouter
PHF12+ctrl,0.84136814,0.601699923788118,1,Scouter
CWF19L2+ctrl,0.28749174,0.1319852370778981,1,Scouter
RPL10A+ctrl,0.014028376,0.0009078312583388204,1,Scouter
CCT7+ctrl,0.12809154,0.014086797207084167,1,Scouter
RPS29+ctrl,0.06077423,0.010741049989976825,1,Scouter
AFG3L2+ctrl,1.5963897,1.0309572867403047,1,Scouter
ORC5+ctrl,0.15525104,0.08660462228379961,1,Scouter
GTF2A2+ctrl,0.5576655,0.3084194819704906,1,Scouter
COPS5+ctrl,0.09852102,0.015780585698329186,1,Scouter
ATP11B+ctrl,0.4901497,0.3586837231468827,1,Scouter
TAF8+ctrl,0.44044676,0.10817642663358429,1,Scouter
YBX3+ctrl,0.8691613,0.8342570780317878,1,Scouter
RPLP2+ctrl,0.4165069,0.18191619614789223,1,Scouter
TRAPPC5+ctrl,0.25733516,0.010933928927373993,1,Scouter
EIF2B2+ctrl,0.0813688,0.012982921100041955,1,Scouter
DHX37+ctrl,0.13632245,0.03369745176774197,1,Scouter
BORA+ctrl,0.08188292,0.1179261548963817,1,Scouter
TIMM13+ctrl,0.84676576,0.4304267349712607,1,Scouter
ABCB10+ctrl,0.24721228,0.055520937179903584,1,Scouter
LSM7+ctrl,0.051378377,0.017249821274387234,1,Scouter
NMD3+ctrl,0.285158,0.0077465326340557805,1,Scouter
CTU2+ctrl,0.18468735,0.09783786241076897,1,Scouter
SETDB1+ctrl,0.94221455,0.6794842091471224,1,Scouter
SMC3+ctrl,0.59280413,0.4633224638793667,1,Scouter
TOMM22+ctrl,0.29503405,0.0884329411482736,1,Scouter
CBLL1+ctrl,0.79936343,0.5117205889848933,1,Scouter
TAMM41+ctrl,0.7459427,0.3670170919636575,1,Scouter
THOC5+ctrl,0.029788377,0.014187693785705169,1,Scouter
WDHD1+ctrl,0.8767786,0.5000263847948191,1,Scouter
CASP8AP2+ctrl,0.29809293,0.03975931494014162,1,Scouter
CINP+ctrl,0.21295266,0.026317735024507627,1,Scouter
CHMP3+ctrl,0.08247644,0.041512632766660396,1,Scouter
ALG14+ctrl,0.6980417,0.551846095789449,1,Scouter
MRM1+ctrl,0.4070907,0.17699423128456404,1,Scouter
NCAPG+ctrl,0.12893035,0.08004474131959305,1,Scouter
ZC3H3+ctrl,1.0070847,1.2880532682669135,1,Scouter
CCT2+ctrl,0.021425655,0.005250726425606422,1,Scouter
PHF5A+ctrl,0.025215201,0.02791253821288242,1,Scouter
NELFA+ctrl,0.12973765,0.040870508519568416,1,Scouter
LSG1+ctrl,0.17172135,0.007092841224317192,1,Scouter
PLK1+ctrl,0.31535286,0.22964187029235428,1,Scouter
PPRC1+ctrl,1.4063013,1.2792703199049478,1,Scouter
CUL3+ctrl,0.94268703,0.9442303468455095,1,Scouter
MRPS33+ctrl,0.68389326,0.23380799941846975,1,Scouter
COX11+ctrl,0.28771254,0.17683764252291156,1,Scouter
DCTN6+ctrl,0.35330084,0.019560506633615193,1,Scouter
POLA1+ctrl,0.02820736,0.015254152472256033,1,Scouter
CPSF1+ctrl,0.059383743,0.061746598910119355,1,Scouter
PRPF19+ctrl,0.32242548,0.07331967910125203,1,Scouter
CHMP7+ctrl,0.3771401,0.2928325828829794,1,Scouter
SEC61B+ctrl,0.71248657,0.41504736284019716,1,Scouter
KANSL1+ctrl,0.29814202,0.06846882723132641,1,Scouter
EIF2B4+ctrl,0.061197586,0.003443045856899807,1,Scouter
GSPT1+ctrl,0.5590102,0.15207517466996534,1,Scouter
RNGTT+ctrl,0.13482358,0.014574993907481848,1,Scouter
SHOC2+ctrl,0.89208585,0.68484374059347,1,Scouter
NOC3L+ctrl,0.24611042,0.026667366177896,1,Scouter
NUP214+ctrl,0.12597518,0.030278505904053787,1,Scouter
ISY1+ctrl,0.62999016,0.515935965927484,1,Scouter
NDUFB10+ctrl,0.64975107,0.7180592075861332,1,Scouter
TINF2+ctrl,0.030404195,0.024827516637542013,1,Scouter
PTPN23+ctrl,0.53079605,0.25064314066210835,1,Scouter
EIF2S2+ctrl,0.1751046,0.03253233160636715,1,Scouter
PGAM1+ctrl,0.9940396,0.6960326443265271,1,Scouter
IARS+ctrl,0.042330615,0.007536187666581151,1,Scouter
MCM4+ctrl,0.09802614,0.04860405134752421,1,Scouter
POLL+ctrl,3.5319047,1.8840493219743237,1,Scouter
CCNL1+ctrl,0.82945323,0.6568884822873389,1,Scouter
RPL29+ctrl,0.5335997,0.29847831239377465,1,Scouter
METAP1+ctrl,0.64412874,0.35004512449659975,1,Scouter
ANAPC2+ctrl,0.48433602,0.19094230502139575,1,Scouter
GTF2H2+ctrl,0.091475785,0.02473085276213416,1,Scouter
PPP1R11+ctrl,0.55952275,0.257434157986288,1,Scouter
INTS10+ctrl,1.4799099,1.1589178362497625,1,Scouter
RPS24+ctrl,0.025447048,0.003697001245102638,1,Scouter
CPSF4+ctrl,0.15426828,0.1726423318627084,1,Scouter
MRTO4+ctrl,0.4482618,0.08773280965741281,1,Scouter
OGT+ctrl,1.2989485,1.4807542159103038,1,Scouter
ATP6V1E1+ctrl,0.08636772,0.01319306689300237,1,Scouter
CNOT9+ctrl,0.26379254,0.14225087875406395,1,Scouter
RPP30+ctrl,0.014705009,0.0129876437944616,1,Scouter
SUPT16H+ctrl,0.41660294,0.11154503381194147,1,Scouter
PPP1R15B+ctrl,0.4719061,0.14674446955357,1,Scouter
CCDC174+ctrl,0.3188111,0.0718498090997608,1,Scouter
PPIE+ctrl,0.2298202,0.04982044566808019,1,Scouter
NSL1+ctrl,0.034920555,0.01304609833036019,1,Scouter
CDC45+ctrl,0.4123354,0.3004456459430428,1,Scouter
CDC26+ctrl,0.2522253,0.0852389425064024,1,Scouter
ABCB7+ctrl,0.21638297,0.008789785288169982,1,Scouter
SNRPE+ctrl,0.0033276842,0.00757482406230281,1,Scouter
ACTR5+ctrl,0.90740484,0.6226258552977235,1,Scouter
SNTB2+ctrl,0.3904522,0.12023676151514162,1,Scouter
SLBP+ctrl,0.54688764,0.21826217569270456,1,Scouter
FBXO42+ctrl,2.1655788,1.3137299935091535,2,Scouter
NOLC1+ctrl,0.12041651,0.007919216176868749,2,Scouter
SERBP1+ctrl,2.8438287,1.0780493546015726,2,Scouter
RUVBL2+ctrl,1.0351291,1.3824203729588094,2,Scouter
ZC3H13+ctrl,0.7726103,0.34386753501384004,2,Scouter
PGS1+ctrl,1.3657285,1.4244934673354732,2,Scouter
SPG7+ctrl,1.1859204,0.6032293127441544,2,Scouter
PTEN+ctrl,1.4852544,1.502463161715783,2,Scouter
HSD17B10+ctrl,0.70647347,0.48480065449349696,2,Scouter
IK+ctrl,0.10599065,0.023939489989885154,2,Scouter
MRPL36+ctrl,0.3483824,0.18094443245054947,2,Scouter
ZNF718+ctrl,0.61770046,0.5531490131921942,2,Scouter
TMEM242+ctrl,1.288548,0.5658335559384996,2,Scouter
MCM3+ctrl,0.105056666,0.013294661081214021,2,Scouter
RPL18A+ctrl,0.015029839,0.024100851949629187,2,Scouter
BCL2L1+ctrl,0.8690045,0.7516801272473148,2,Scouter
RPS19BP1+ctrl,0.01100005,0.00901035430762176,2,Scouter
MRPL19+ctrl,0.33519256,0.08573810032842877,2,Scouter
DERL2+ctrl,0.9253895,0.5710575067152788,2,Scouter
TMSB10+ctrl,0.79635185,0.7224053285021999,2,Scouter
DHPS+ctrl,1.8481041,1.237690967075681,2,Scouter
TRMT5+ctrl,0.79134494,0.36585743384400204,2,Scouter
GAR1+ctrl,0.26763785,0.1319750192568444,2,Scouter
STIL+ctrl,0.23427409,0.0374984355247,2,Scouter
RPA2+ctrl,0.032016464,0.009599625919998633,2,Scouter
RPLP0+ctrl,0.0101911295,0.007731046714328005,2,Scouter
NUP153+ctrl,0.15365379,0.04570156403906178,2,Scouter
NUP88+ctrl,0.0049785334,0.005851176853827966,2,Scouter
ARIH1+ctrl,1.0973742,0.9332655279951074,2,Scouter
VPS54+ctrl,1.6735177,0.05769736280011439,2,Scouter
GTF2E2+ctrl,0.08832028,0.08801334523014159,2,Scouter
RCCD1+ctrl,0.47928813,0.2870284823394951,2,Scouter
FBXL14+ctrl,0.6160433,0.5859308866714978,2,Scouter
CASC3+ctrl,0.48242456,0.4668833259508076,2,Scouter
DNAJC8+ctrl,1.1173291,0.7226460689706147,2,Scouter
NDUFA2+ctrl,0.13942799,0.020526399814953966,2,Scouter
CPNE7+ctrl,0.9709369,0.7632436051553749,2,Scouter
PRDM10+ctrl,1.3153447,1.1468028096239467,2,Scouter
CKAP5+ctrl,0.116421044,0.06341180107703881,2,Scouter
KEAP1+ctrl,0.9019423,0.2805741387045608,2,Scouter
RTCB+ctrl,0.17697407,0.1123229211564668,2,Scouter
PTPMT1+ctrl,0.28155765,0.12383994727234093,2,Scouter
CENPW+ctrl,0.6379551,0.3323315183537866,2,Scouter
CCNK+ctrl,2.5654354,1.2586164341600814,2,Scouter
DDB1+ctrl,0.2728638,0.13709251250729704,2,Scouter
SYS1+ctrl,0.010211548,0.015431945196238361,2,Scouter
HNRNPA1+ctrl,1.8431355,1.4361505161588575,2,Scouter
THAP1+ctrl,0.52611536,0.05711181696848677,2,Scouter
KPNB1+ctrl,0.072781205,0.04618388968815479,2,Scouter
URB1+ctrl,0.14447871,0.02225494349904955,2,Scouter
CDT1+ctrl,0.25176373,0.06269653833876798,2,Scouter
RBM12+ctrl,0.97636706,0.7517401412267605,2,Scouter
GNB1L+ctrl,0.77325124,0.30957568813604086,2,Scouter
CSE1L+ctrl,0.11404702,0.03056625308310923,2,Scouter
CCDC84+ctrl,0.4111885,0.11900272363982678,2,Scouter
ORC6+ctrl,0.24396166,0.03708696933870237,2,Scouter
HSCB+ctrl,0.30383128,0.0700358674787036,2,Scouter
PRPF3+ctrl,0.045103814,0.01036610671567817,2,Scouter
WDR24+ctrl,0.7367825,0.22778433494369232,2,Scouter
