,NormMSE,Pearson,Spearman,n_pred,seed,split
SCYL1+ctrl,0.41413435,0.876072927378118,0.9385964912280702,100,2,1
HYOU1+ctrl,0.09647816,0.9462486186530441,0.9947368421052631,100,2,1
TMED10+ctrl,0.019819813,0.9936741378623992,1.0,100,2,1
CCND3+ctrl,0.38166666,0.9084572843275964,0.9578947368421052,100,2,1
COPB1+ctrl,0.04035313,0.9879913316108286,0.9954887218045112,100,2,1
CARS+ctrl,0.18793708,0.9895256571471691,0.856140350877193,100,2,1
SPCS2+ctrl,0.058202077,0.9834092516903183,1.0,100,2,1
BHLHE40+ctrl,0.9254863,0.21610472351312637,0.9508771929824561,100,3,1
HARS+ctrl,0.113420665,0.9839499844238162,0.9578947368421052,100,3,1
ATP5B+ctrl,0.10238012,0.9732765415683389,0.9649122807017543,100,3,1
DERL2+ctrl,0.014402288,0.9884800693034776,0.9964912280701754,100,3,1
TELO2+ctrl,0.20937534,0.8032821000324475,1.0,100,3,1
MRPL39+ctrl,0.18211226,0.9033677248517051,0.9421052631578948,100,3,1
MANF+ctrl,0.03901289,0.984754248522222,0.9947368421052631,100,3,1
TARS+ctrl,0.3562041,0.8213412193581462,0.9719298245614034,100,3,1
TTI1+ctrl,0.2097524,0.9516539010219276,0.9649122807017543,100,3,1
SRP72+ctrl,0.012845909,0.9951943937921897,0.9982456140350877,100,3,1
SCYL1+ctrl,0.4167376,0.8780745165422559,0.9403508771929823,100,3,1
HYOU1+ctrl,0.093380265,0.9491716391930822,0.9964912280701754,100,3,1
TMED10+ctrl,0.0215123,0.9930639445665292,0.9982456140350877,100,3,1
CCND3+ctrl,0.39194465,0.9010410176124424,0.9578947368421052,100,3,1
COPB1+ctrl,0.043411545,0.9873084202408791,0.9954887218045112,100,3,1
CARS+ctrl,0.19289765,0.9899078421294689,0.856140350877193,100,3,1
SPCS2+ctrl,0.055344827,0.9846614565321943,1.0,100,3,1
BHLHE40+ctrl,0.93460786,0.1811793853994459,0.9508771929824561,100,4,1
HARS+ctrl,0.11032595,0.9835784435272217,0.9578947368421052,100,4,1
ATP5B+ctrl,0.09739369,0.9735521199181676,0.9666666666666668,100,4,1
DERL2+ctrl,0.01497765,0.9875976091661869,0.9964912280701754,100,4,1
TELO2+ctrl,0.21456523,0.8007713753813732,0.9982456140350877,100,4,1
MRPL39+ctrl,0.18055955,0.9033343503833748,0.9385964912280702,100,4,1
MANF+ctrl,0.038783845,0.9847879125736654,0.9947368421052631,100,4,1
TARS+ctrl,0.35132682,0.8264873782172799,0.9719298245614034,100,4,1
TTI1+ctrl,0.2137023,0.9497196848969907,0.9649122807017543,100,4,1
SRP72+ctrl,0.013241701,0.995447991299443,0.9982456140350877,100,4,1
SCYL1+ctrl,0.4045547,0.8851189510896802,0.9456140350877192,100,4,1
HYOU1+ctrl,0.09018648,0.9493109903705772,0.9947368421052631,100,4,1
TMED10+ctrl,0.020870103,0.9933263264829293,0.9982456140350877,100,4,1
CCND3+ctrl,0.38707876,0.9003622171003371,0.9578947368421052,100,4,1
COPB1+ctrl,0.04466669,0.9863278842531145,0.9954887218045112,100,4,1
CARS+ctrl,0.19304758,0.9900022875517607,0.856140350877193,100,4,1
SPCS2+ctrl,0.05289835,0.9854713074782921,1.0,100,4,1
BHLHE40+ctrl,0.91002357,0.28650075290352106,0.9508771929824561,100,5,1
HARS+ctrl,0.11626564,0.9814351005479693,0.9543859649122807,100,5,1
ATP5B+ctrl,0.104323745,0.9718774082139134,0.9649122807017543,100,5,1
DERL2+ctrl,0.018768825,0.9864044444325373,0.9964912280701754,100,5,1
TELO2+ctrl,0.2168335,0.8057724940990738,1.0,100,5,1
MRPL39+ctrl,0.18896009,0.8971427168144146,0.9350877192982456,100,5,1
MANF+ctrl,0.04590566,0.9848335512797348,0.9947368421052631,100,5,1
TARS+ctrl,0.35995787,0.8224839786998928,0.9719298245614034,100,5,1
TTI1+ctrl,0.23048127,0.9422105812700465,0.9649122807017543,100,5,1
SRP72+ctrl,0.016794259,0.995454049174441,0.9982456140350877,100,5,1
SCYL1+ctrl,0.4230611,0.8751806244254112,0.9403508771929823,100,5,1
HYOU1+ctrl,0.09281091,0.9480956394108944,0.9964912280701754,100,5,1
TMED10+ctrl,0.027515953,0.992973354208516,0.9982456140350877,100,5,1
CCND3+ctrl,0.42457142,0.8838929738849401,0.9578947368421052,100,5,1
COPB1+ctrl,0.04636091,0.9865659540519118,0.9954887218045112,100,5,1
CARS+ctrl,0.1913666,0.9916839795187116,0.856140350877193,100,5,1
SPCS2+ctrl,0.04557412,0.9849029435390548,1.0,100,5,1
BHLHE40+ctrl,0.9276117,0.20917930314317346,0.9508771929824561,100,6,1
HARS+ctrl,0.111980505,0.9830088410526514,0.9543859649122807,100,6,1
